Pos,Artist and Title, ,"15,441.2","15,443.7","15,783.6","15,786.8","15,789.7"
1,Nicki Minaj - Super Freaky Girl, ,1.0000,1.0000,1.0000,1.0000,1.0000
2,Cole Swindell - She Had Me At Heads Carolina, ,0.4177,0.4258,0.4274,0.4177,0.4204
3,Nicki Minaj - Super Freaky Girl, ,0.3778,0.3048,0.3074,0.3778,0.3751
4,Kate Bush - Running Up That Hill (A Deal with God), ,0.3641,0.4285,0.4207,0.3641,0.3688
5,Luke Combs - The Kind of Love We Make, ,0.3125,0.3105,0.3026,0.3125,0.3119
6,Jelly Roll - Son Of A Sinner, ,0.3097,0.3048,0.3007,0.3097,0.3130
7,Morgan Wallen - You Proof, ,0.3058,0.3403,0.3381,0.3058,0.3046
8,OneRepublic - I Ain't Worried, ,0.2990,0.3367,0.3357,0.2990,0.2939
9,Lizzo - About Damn Time, ,0.2804,0.2942,0.2911,0.2804,0.2855
10,Harry Styles - As It Was, ,0.2736,0.2866,0.2825,0.2736,0.2771
11,Sia - Unstoppable, ,0.2688,0.2915,0.2921,0.2688,0.2708
12,Jax - Victoria’s Secret, ,0.2581,0.2738,0.2700,0.2581,0.2623
13,David Morris - Dutton Ranch Freestyle, ,0.2522,0.2025,0.1860,0.2522,0.2582
14,Nicky Youre & Dazy - Sunroof, ,0.2502,0.2605,0.2546,0.2502,0.2477
15,Bailey Zimmerman - Rock and A Hard Place, ,0.2424,0.2233,0.2192,0.2424,0.2466
16,Blasterjaxx & Timmy Trumpet - Narco, ,0.2279,0.2902,0.2849,0.2279,0.2361
17,Post Malone - I Like You (A Happier Song) [feat. Doja Cat], ,0.2094,0.1971,0.1895,0.2094,0.2034
18,David Guetta - Titanium (feat. Sia), ,0.2025,0.2069,0.1986,0.2025,0.2034
19,Chapel Hart - You Can Have Him Jolene, ,0.2006,0.0000,0.0000,0.2006,0.2023
20,Beyoncé - BREAK MY SOUL, ,0.1986,0.2357,0.2288,0.1986,0.1991
21,Morgan Wallen - Wasted On You, ,0.1957,0.2330,0.2332,0.1957,0.1960
22,Bailey Zimmerman - Fall In Love, ,0.1937,0.1963,0.1927,0.1937,0.1970
23,David Guetta - Sexy Bitch (feat. Akon), ,0.1812,0.1609,0.1516,0.1812,0.1813
24,Imagine Dragons - Bones, ,0.1782,0.2216,0.2211,0.1782,0.1854
25,Marshmello & Khalid - Numb, ,0.1724,0.1772,0.1760,0.1724,0.1718
26,Chapel Hart - The Girls Are Back in Town, ,0.1704,0.0000,0.0000,0.1704,0.1676
27,"benny blanco, BTS & Snoop Dogg - Bad Decisions", ,0.1675,0.1365,0.1323,0.1675,0.1697
28,TALK - Run Away to Mars, ,0.1636,0.0952,0.0868,0.1636,0.1665
29,Ed Sheeran - Shivers, ,0.1616,0.1661,0.1722,0.1616,0.1633
30,Tyler Hubbard - 5 Foot 9, ,0.1606,0.1498,0.1453,0.1606,0.1622
31,Kane Brown - Like I Love Country Music, ,0.1538,0.1688,0.1708,0.1538,0.1486
32,Yung Gravy - Betty (Get Money), ,0.1479,0.1440,0.1434,0.1479,0.1538
33,Drake Milligan - Kiss Goodbye All Night, ,0.1470,0.1923,0.1827,0.1470,0.1497
34,Walker Hayes - Y'all Life, ,0.1432,0.1772,0.1803,0.1432,0.1465
35,Drake Milligan - Sounds Like Something I'd Do, ,0.1412,0.1533,0.1467,0.1412,0.1422
36,Megan Thee Stallion - Her, ,0.1403,0.1311,0.1218,0.1403,0.1422
37,Tiësto & Ava Max - The Motto, ,0.1393,0.1582,0.1559,0.1393,0.1412
38,Charlie Puth & Jung Kook - Left and Right, ,0.1364,0.1329,0.1318,0.1364,0.1317
39,Sofia Carson - Come Back Home, ,0.1344,0.1683,0.1573,0.1344,0.1349
40,Luke Bryan - Country On, ,0.1324,0.1156,0.1156,0.1324,0.1349
41,Doja Cat - Vegas (From the Original Motion Picture Soundtrack ELVIS), ,0.1315,0.1484,0.1449,0.1315,0.1285
42,Ktlyn - BIG MAD, ,0.1285,0.1237,0.1161,0.1285,0.1306
43,Jackson Dean - Don’t Come Lookin’, ,0.1256,0.1621,0.1646,0.1256,0.1317
44,DJ Khaled - STAYING ALIVE (feat. Drake & Lil Baby), ,0.1246,0.1417,0.1405,0.1246,0.1244
45,Joji - Glimpse of Us, ,0.1237,0.1378,0.1357,0.1237,0.1265
46,Olivia Newton-John - Hopelessly Devoted to You, ,0.1237,0.1550,0.1569,0.1237,0.1265
47,Lee Brice - Soul, ,0.1207,0.1201,0.1141,0.1207,0.1212
48,Owl City - Fireflies, ,0.1198,0.1095,0.0983,0.1198,0.1222
49,Kane Brown - Go Around, ,0.1178,0.0000,0.0000,0.1178,0.1149
50,Avicii - The Nights, ,0.1168,0.1417,0.1348,0.1168,0.1160
51,Harry Styles - Late Night Talking, ,0.1158,0.1210,0.1243,0.1158,0.1169
52,Carly Pearce - What He Didn't Do, ,0.1119,0.0824,0.0835,0.1119,0.1106
53,Lizzo - 2 Be Loved (Am I Ready), ,0.1080,0.0793,0.0748,0.1080,0.1044
54,David Guetta - Without You (feat. Usher), ,0.1051,0.1085,0.1064,0.1051,0.1064
55,Lady Gaga - Hold My Hand, ,0.1041,0.1360,0.1362,0.1041,0.1064
56,Bad Bunny - Tití Me Preguntó, ,0.1033,0.1188,0.1161,0.1033,0.1012
57,"David Guetta - Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)", ,0.1003,0.1082,0.1055,0.1003,0.0990
58,Walker Hayes - Fancy Like, ,0.0994,0.1201,0.1180,0.0994,0.1012
59,Beyoncé & Madonna - BREAK MY SOUL (THE QUEENS REMIX), ,0.0994,0.0970,0.0945,0.0994,0.0969
60,John Travolta & Olivia Newton-John - You're the One That I Want, ,0.0994,0.1285,0.1318,0.0994,0.1012
61,Elton John & Dua Lipa - Cold Heart (PNAU Remix), ,0.0994,0.1262,0.1281,0.0994,0.1001
62,Chris Stapleton - Tennessee Whiskey, ,0.0984,0.1117,0.1055,0.0984,0.1001
63,Empire of the Sun - Walking On a Dream, ,0.0974,0.0957,0.0887,0.0974,0.0969
64,Metallica - Master of Puppets, ,0.0964,0.1072,0.1060,0.0964,0.1012
65,Meghan Trainor - Bad For Me (feat. Teddy Swims), ,0.0964,0.0758,0.0714,0.0964,0.0969
66,Jordan Davis - What My World Spins Around, ,0.0955,0.0917,0.0912,0.0955,0.0980
67,Cody Johnson - 'Til You Can't, ,0.0955,0.0952,0.0945,0.0955,0.0917
68,Riley Roth - When God Made You My Mother, ,0.0925,0.0000,0.0000,0.0925,0.0938
69,Chris Stapleton - Joy of My Life, ,0.0925,0.1104,0.1079,0.0925,0.0938
70,Sofia Carson - I Didn't Know, ,0.0916,0.1250,0.1171,0.0916,0.0917
71,Russell Dickerson & Jake Scott - She Likes It (feat. Jake Scott), ,0.0916,0.1036,0.1031,0.0916,0.0948
72,Walker Hayes - AA, ,0.0896,0.1046,0.1012,0.0896,0.0864
73,Kane Brown - Grand, ,0.0886,0.0807,0.0825,0.0886,0.0896
74,Old Dominion - No Hard Feelings, ,0.0876,0.0966,0.0983,0.0876,0.0906
75,Zach Bryan - Something in the Orange (Z&E's Version), ,0.0876,0.0957,0.0955,0.0876,0.0833
76,Technotronic - Pump Up the Jam, ,0.0867,0.0000,0.0000,0.0867,0.0864
77,Bad Bunny & Chencho Corleone - Me Porto Bonito, ,0.0857,0.1019,0.0979,0.0857,0.0864
78,Steve Lacy - Bad Habit, ,0.0847,0.0793,0.0778,0.0847,0.0864
79,Katy Nichole - In Jesus Name (God Of Possible), ,0.0847,0.0856,0.0840,0.0847,0.0864
80,Lizzo - About Damn Time, ,0.0828,0.0939,0.0940,0.0828,0.0812
81,Jack Harlow - First Class, ,0.0798,0.1055,0.1017,0.0798,0.0790
82,Kenny Loggins - Danger Zone, ,0.0798,0.0992,0.1002,0.0798,0.0790
83,Beyoncé - ALIEN SUPERSTAR, ,0.0798,0.0930,0.0868,0.0798,0.0833
84,Glass Animals - Heat Waves, ,0.0779,0.0944,0.0959,0.0779,0.0780
85,Elvis Presley - Suspicious Minds, ,0.0769,0.0771,0.0748,0.0769,0.0801
86,Scotty McCreery - Damn Strait, ,0.0769,0.0917,0.0892,0.0769,0.0748
87,Shinedown - Daylight, ,0.0750,0.0000,0.0000,0.0750,0.0780
88,Latto - Big Energy, ,0.0750,0.0895,0.0858,0.0750,0.0717
89,Andrew McMahon In the Wilderness - Stars, ,0.0740,0.0000,0.0000,0.0740,0.0737
90,Thomas Rhett - Half Of Me (feat. Riley Green), ,0.0740,0.0829,0.0830,0.0740,0.0737
91,Jelly Roll - Save Me, ,0.0740,0.0000,0.0000,0.0740,0.0728
92,ROSALÍA - DESPECHÁ, ,0.0740,0.0851,0.0835,0.0740,0.0748
93,Parmalee - Take My Name, ,0.0710,0.0780,0.0786,0.0710,0.0706
94,CeCe Winans - Goodness of God (Live), ,0.0691,0.0762,0.0719,0.0691,0.0696
95,"Zedd, Maren Morris & Grey - The Middle", ,0.0691,0.0811,0.0781,0.0691,0.0717
96,Ingrid Andress & Sam Hunt - Wishful Drinking, ,0.0681,0.0000,0.0000,0.0681,0.0000
97,Evanescence - Bring Me to Life, ,0.0671,0.0797,0.0791,0.0671,0.0696
98,Chris Brown - Under the Influence, ,0.0652,0.0000,0.0000,0.0652,0.0674
99,The Weeknd - Blinding Lights, ,0.0642,0.0000,0.0000,0.0642,0.0000
100,"David Guetta, Becky Hill & Ella Henderson - Crazy What Love Can Do", ,0.0000,0.0886,0.0868,0.0000,0.0706
---,Olivia Newton-John - Physical, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Morgan Wallen - Sand In My Boots, ,0.0000,0.0775,0.0796,0.0000,0.0000
---,Mandisa - Good Morning (feat. TobyMac), ,0.0000,0.0922,0.0974,0.0000,0.0000
---,Olivia Newton-John - I Honestly Love You, ,0.0000,0.0789,0.0811,0.0000,0.0000
---,Ed Sheeran - Perfect, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Olivia Newton-John - Xanadu (feat. Electric Light Orchestra), ,0.0000,0.0000,0.0000,0.0000,0.0000
---,"Ronald Isley & The Isley Brothers - Make Me Say It Again, Girl (feat. Beyoncé)", ,0.0000,0.0807,0.0801,0.0000,0.0000
---,Dylan Scott - New Truck, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Jordan Davis - Next Thing You Know, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,John Travolta & Olivia Newton-John - Summer Nights, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Disclosure & RAYE - Waterfall, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Olivia Newton-John - Magic, ,0.0000,0.0952,0.0959,0.0000,0.0706
---,Giuseppe Ottaviani & Mila Josef - Fade Away, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Journey - Don't Stop Believin', ,0.0000,0.0784,0.0753,0.0000,0.0000
---,PSY - That That (prod. & feat. SUGA of BTS), ,0.0000,0.0927,0.0945,0.0000,0.0000
---,Keala Settle - Feels So Good, ,0.0000,0.0851,0.0878,0.0000,0.0000
---,"Tyga, Jhené Aiko & Pop Smoke - Sunshine", ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Rayelle - Be You (Latin Remix), ,0.0000,0.0829,0.0873,0.0000,0.0000
---,Sofia Carson - I Hate the Way, ,0.0000,0.0886,0.0863,0.0000,0.0000
---,Olivia Newton-John - Let Me Be There, ,0.0000,0.0745,0.0781,0.0000,0.0000
---,Nate Smith - Whiskey On You, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,"Dimitri Vegas & Like Mike, Azteck & Hayley May - Heaven", ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Jordan Davis - Buy Dirt (feat. Luke Bryan), ,0.0000,0.0000,0.0000,0.0000,0.0653
---,Metallica - Enter Sandman, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Guns N' Roses - Sweet Child O' Mine, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Adele - Easy On Me, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Bryson Gray & Tyson James - Fbi Raid, ,0.0000,0.0000,0.0000,0.0000,0.0000
