Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
1,=,"Kubi Producent - Woda Księżycowa (w/ bambi, Fukaj, stickxr)",74,1,(x32),"325,729","+40,106","2,288,237","+2,327","22,060,563"
2,+1,Oki - AGENT47,4,2,(x2),"245,426","+38,437","969,228","+245,426","969,228"
3,-1,"Young Leosia - Przester (w/ bambi, PG$, francis)",69,2,(x6),"242,618","+15,885","1,764,320","-13,404","16,530,016"
4,=,Artemas - i like the way you kiss me,77,1,(x30),"233,144","+32,291","1,657,493","-3,000","23,501,299"
5,=,MODELKI - Chyba że z Tobą (w/ Vłodarski),60,1,(x4),"210,838","+16,963","1,572,797","-8,840","16,555,346"
6,=,Oki - ILE LAT? (w/ Sobel),37,1,(x3),"208,436","+34,651","1,463,372","-23,640","10,835,615"
7,+5,Kronkel Dom - GENERACJA CUZI (w/ Deemz),24,7,"","203,025","+51,715","1,173,911","+72,015","2,378,446"
8,+3,Guzior - STRZELAM PETEM,46,2,(x1),"189,076","+34,824","1,445,278","-24,610","8,684,828"
9,=,"Deemz - LECĘ BO CHCĘ (w/ bambi, Kizo, Young Leosia, Waima)",35,2,(x7),"188,444","+23,958","1,489,892","-56,222","8,717,877"
10,-3,"Young Leosia - Te numery (w/ bambi, PG$, francis)",88,5,"","187,475","+14,970","1,386,544","-5,202","14,668,560"
11,-1,Bletka - B012,56,5,"","186,783","+28,769","1,321,714","-1,530","9,522,800"
12,-4,"Young Leosia - Double Match (w/ bambi, PG$, francis)",21,6,"","179,066","+10,897","1,421,405","-42,836","3,653,533"
13,=,"Gibbs - Drive (w/ Opał, Jonatan, 4Money)",190,1,(x2),"170,842","+23,639","1,233,787","+9,405","22,963,114"
14,+1,Billie Eilish - LUNCH,18,5,"","161,852","+28,623","1,124,142","-35,617","3,480,190"
15,+3,Sabrina Carpenter - Espresso,53,14,"","149,381","+28,231","1,023,553","-4,703","6,228,446"
16,=,Billie Eilish - CHIHIRO,18,6,"","149,033","+21,414","1,059,579","-41,064","3,373,142"
17,-3,"Jaxomy - Pedro (w/ Agatino Romero, Raffaella Carrà)",57,7,"","147,344","+9,554","1,156,891","-9,301","8,986,373"
18,+1,"Kubi Producent - Pusty pokój, ale płyty diamentowe (w/ Szpaku, Tulia)",4,15,"","145,065","+29,311","564,708","+145,065","564,708"
19,+8,Eminem - Houdini,4,19,"","144,552","+48,530","418,189","+144,552","418,189"
20,+1,Hozier - Too Sweet,72,12,"","136,697","+24,910","906,275","+5,566","8,817,653"
21,-4,bambi - MILLIE WALKY (w/ charlie moncler),200,14,"","129,918","+6,246","925,138","+8,161","16,913,809"
22,+3,Billie Eilish - BIRDS OF A FEATHER,18,15,"","127,934","+26,972","767,965","+8,982","2,172,286"
23,-1,Disturbed - The Sound of Silence - CYRIL Remix (w/ CYRIL),95,11,"","127,529","+16,222","1,005,382","-17,353","10,951,046"
24,-4,"bambi - BFF (w/ Young Leosia, PG$, @atutowy)",284,1,(x45),"123,438","+8,966","934,858","-7,429","42,104,323"
25,-2,"Young Leosia - PG$ (w/ bambi, PG$, francis)",88,21,"","118,939","+15,757","857,012","-3,637","7,903,124"
26,+3,Central Cee - BAND4BAND (w/ Lil Baby),11,26,"","116,726","+25,623","628,037","+54,625","838,068"
27,-1,Daria Zawiałow - Złamane serce jest OK,83,23,"","113,023","+15,693","815,174","+4,081","5,792,020"
28,+6,Zeamsone - 4 RANO,19,28,"","110,950","+28,056","659,997","+33,397","1,626,256"
29,-1,Benson Boone - Beautiful Things,137,4,"","110,662","+15,807","796,866","-9,264","17,522,626"
30,-6,Kizo - HERO (w/ Bletka),111,1,(x37),"109,599","+7,257","850,487","-8,285","26,499,535"
31,-1,"Waima - RING RING (w/ Deemz, YARSKI)",81,3,(x4),"105,325","+14,265","779,309","-9,699","12,295,991"
32,+1,Tommy Richman - MILLION DOLLAR BABY,31,15,"","102,699","+17,655","710,519","-4,425","3,344,783"
33,-1,Teddy Swims - Lose Control,156,8,"","99,192","+13,581","740,552","-6,658","17,045,009"
34,-3,Vixen - Ne Rozumiju,191,2,(x9),"96,478","+7,047","849,997","-34,970","29,010,462"
35,+2,Oki - NA ZAWSZE MAŁOLAT,21,9,"","95,326","+15,185","628,918","+6,519","2,172,795"
36,-1,"Kizo - Co ty mi dasz ale to DRILL (w/ młody klakson, Mig)",70,2,(x5),"94,899","+12,753","687,824",+332,"9,902,873"
37,-1,sanah - hip hip hura!,106,10,"","92,128","+11,702","640,737","+5,353","9,353,435"
38,+3,Oki - KAUCJA,48,7,"","87,417","+14,179","632,979","-5,140","6,130,776"
39,=,MODELKI - HIFI (7 bieg) (w/ Vłodarski),25,39,"","87,254","+12,732","581,049","+11,104","1,780,200"
40,-2,bambi - GRAWITACJA (w/ charlie moncler),23,38,"","87,238","+8,843","590,794","+6,255","1,571,894"
41,+1,David Guetta - I Don't Wanna Wait (w/ OneRepublic),54,34,"","85,687","+14,347","598,210","+4,152","3,444,774"
42,-2,Eryk Moczko - ENZO (w/ Kize),95,2,(x9),"82,360","+8,992","624,011","-12,233","12,714,172"
43,=,"Otsochodzi - „Tak to leciało!” (w/ Taco Hemingway, lohleq)",60,12,"","81,510","+10,206","574,009",-389,"5,848,708"
44,+2,Malik Montana - Dior,102,12,"","76,201","+9,429","567,376","-13,888","10,542,432"
45,+4,Guzior - BLUEBERRY (w/ Favst),1271,1,(x20),"76,136","+12,949","506,538","+4,295","80,800,980"
46,+2,"Eryk Moczko - NAPALONE FANKI (w/ MIÜ, Bedoes 2115)",124,3,(x6),"74,983","+11,227","553,586","-11,982","14,004,450"
47,+5,Ariana Grande - we can't be friends (wait for your love),88,6,"","72,940","+11,283","515,774","-3,660","8,343,266"
48,+3,CYRIL - Stumblin' In,171,14,"","71,413","+9,459","549,247","-4,894","15,128,970"
49,-2,Travis Scott - FE!N,311,1,(x1),"71,250","+4,582","583,031","-15,728","23,211,937"
50,=,Ofenbach - Overdrive (w/ Norma Jean Martine),212,4,"","70,733","+8,316","546,985","-7,996","18,161,645"
51,-7,"Lanberry - Dzięki, że jesteś (w/ Tribbs)",211,3,(x7),"69,262","+2,213","546,904","-6,819","24,371,311"
52,-7,The Neighbourhood - Sweater Weather,1980,19,"","69,080","+2,133","477,172","+3,097","62,913,314"
53,+4,Billie Eilish - BLUE,18,20,"","68,857","+10,697","457,183","-10,929","1,603,071"
54,-1,Kendrick Lamar - Not Like Us,30,27,"","68,141","+7,320","513,940","-12,296","2,582,790"
55,+18,"Young Igi - BRAK REGUŁ (w/ Oki, Sergiusz, 2K)",11,34,"","67,449","+15,487","444,742","-13,428","775,034"
56,+2,"Gibbs - Stan (w/ Jonatan, 4Money)",315,3,(x13),"66,651","+8,845","498,627","-7,336","40,606,427"
57,+2,Billie Eilish - WILDFLOWER,18,20,"","66,350","+8,687","440,631","-7,266","1,479,071"
58,-3,Paula Biskup - Nie Szkodzi (w/ Piotr Odoszewski),71,10,"","66,205","+7,009","498,875","-8,046","8,327,139"
59,+11,Lithe - Fall Back,40,59,"","65,112","+12,812","435,109","-1,487","2,211,328"
60,+7,Future - Type Shit (w/ Metro Boomin),74,15,"","64,860","+11,115","444,187","-4,221","5,736,091"
61,=,Djo - End of Beginning,107,4,"","64,157","+8,285","434,164",+660,"12,450,787"
62,-6,"Young Multi - Młody Manson (w/ Szpaku, Kubi Producent, Lucassi)",131,1,(x22),"62,549","+4,086","424,883","+2,417","18,243,170"
63,+9,"Favst - suma wszystkich strachów (w/ Gibbs, Szpaku, Kiełas)",124,7,"","62,362","+10,384","443,798","-5,635","9,460,568"
64,-1,Szpaku - Plaster (w/ Deemz),150,1,(x17),"62,184","+7,255","454,959","-6,044","22,426,673"
65,+3,Elley Duhé - MONEY ON THE DASH - SPED UP (w/ Whethan),229,29,"","61,993","+8,354","461,841","-3,604","14,954,525"
66,-4,Gibbs - Piękny Świat (w/ Kiełas),745,1,(x3),"61,603","+6,184","450,136","+3,160","60,722,777"
67,+11,FloyyMenor - Gata Only (w/ Cris Mj),51,54,"","61,442","+11,259","411,329","+1,363","3,004,926"
68,-14,"Kizo - Taxi (w/ Bletka, BeMelo, Eddie Block, Adash)",439,1,(x26),"61,279",+554,"498,497","-5,356","54,813,546"
69,-5,PRO8L3M - Ground Zero,1156,19,"","60,506","+5,708","437,313","-3,079","49,831,955"
70,+1,"¥$ - CARNIVAL (w/ Kanye West, Ty Dolla $ign)",110,2,(x12),"58,995","+6,819","420,651","-2,470","15,442,135"
71,-2,Lord Huron - The Night We Met,1107,21,"","58,285","+5,207","383,087","+1,485","30,131,949"
72,+24,Mark Ambor - Belong Together,57,49,"","58,015","+12,517","387,377","-1,192","3,309,880"
73,+10,Dua Lipa - Illusion,51,45,"","57,612","+9,376","394,999","+1,053","2,552,625"
74,-14,White 2115 - California,2167,5,"","57,579","+1,181","467,931","-9,152","96,858,929"
75,+5,GENZIE - Genziara,54,43,"","57,450","+8,102","368,750","+57,450","3,017,276"
76,-1,"Kizo - BOOMBOO (w/ Bletka, BeMelo)",19,43,"","57,433","+6,061","423,178",+691,"1,280,561"
77,+22,"cassö - Prada (w/ RAYE, D-Block Europe)",281,26,"","56,962","+11,888","406,497",-579,"17,896,177"
78,-4,Joost - Europapa,27,8,"","56,569","+4,973","474,700","-25,953","3,010,903"
79,+7,Dedis - Nie ma (w/ PSR),72,49,"","56,142","+9,021","397,205","-4,689","4,568,359"
80,-15,NIKOŚ - HIPNOZA,185,1,(x13),"55,942","+1,605","467,558","-21,173","23,163,071"
81,+8,Tate McRae - greedy,263,4,"","55,550","+8,653","402,421","-7,868","29,937,691"
82,-6,Zeamsone - 5 INFLUENCEREK,363,1,(x55),"55,521","+4,657","400,944",-939,"50,209,569"
83,+54,"Kaz Bałagane - Red Flag (w/ yungwilku, 2latefor)",13,29,"","55,435","+16,328","371,632","-11,159","850,140"
84,-18,"Fukaj - NIE MA CIĘ (w/ charlie moncler, bambi)",333,1,(x7),"55,411","+1,242","414,605",-895,"32,908,708"
85,-8,MODELKI - On Me (w/ Vłodarski),60,70,"","55,333","+4,566","406,665","-2,775","3,284,442"
86,-4,Vance Joy - Riptide,1982,5,"","54,867","+5,878","322,331","+15,364","31,743,052"
87,+10,Malik Montana - Hotel Lobby (w/ Kyle Richh),39,39,"","54,481","+9,058","404,722","-12,639","2,630,011"
88,+27,"Gibbs - Pogoda, Drinki, Plaża (w/ DOPEHOUSE)",38,84,"","54,034","+11,662","372,204",-431,"1,796,366"
89,-4,"A$AP Rocky - I Smoked Away My Brain (I'm God x Demons Mashup) (w/ Imogen Heap, Clams Casino)",141,61,"","53,750","+5,887","360,154","+1,419","7,088,989"
90,+28,Białas - Ostatni Raz (w/ Gibbs),18,40,"","53,032","+11,155","355,514","+3,728","1,068,256"
91,-10,Dawid Podsiadło - mori,522,1,(x8),"52,821","+3,664","314,580","+14,937","46,811,018"
92,+73,Myles Smith - Stargazing,8,92,"","52,385","+15,889","299,562","+11,170","340,777"
93,-14,Artemas - if u think i'm pretty,138,39,"","52,142","+2,766","272,043","+12,474","7,724,008"
94,-7,Rich Amiri - ONE CALL,141,23,"","51,598","+4,639","357,686","+2,616","9,293,125"
95,+18,"Dimitri Vegas & Like Mike - Thank You (Not So Bad) (w/ Tiësto, Dido, W&W, Dimitri Vegas, Like Mike)",90,75,"","51,037","+8,448","376,674",-50,"4,260,953"
96,-2,Don Omar - Danza Kuduro (w/ Lucenzo),461,28,"","50,692","+4,832","396,782","-4,197","19,856,301"
97,-6,vkie - DAM CI PORADY,92,3,(x1),"50,534","+3,669","371,878",-633,"7,520,742"
98,+8,PRO8L3M - Miyabi,186,7,"","50,244","+6,845","371,012","-6,284","16,007,510"
99,+44,Guzior - CASTROL (w/ Kukon),11,35,"","50,156","+12,292","350,095","-18,876","651,083"
100,-12,Isabel LaRosa - favorite,60,54,"","49,939","+3,015","358,136","-4,187","3,188,270"
101,-6,"Męskie Granie Orkiestra 2021 - I Ciebie też, bardzo (w/ Daria Zawiałow, Dawid Podsiadło, Vito Bambino)",1010,2,(x1),"49,631","+3,993","310,635","+12,009","64,107,589"
102,+14,Dua Lipa - Training Season,109,16,"","49,538","+7,262","341,653",-911,"8,156,266"
103,+8,Guzior - FALA (w/ Oskar83),1276,1,(x26),"49,255","+6,453","352,588",-554,"70,224,313"
104,+73,Oki - WODA SODOWA,49,2,(x1),"49,226","+14,023","169,644","+12,147","5,314,014"
105,-21,Blacha 2115 - Jolie Jolie,278,1,(x3),"49,074","+1,048","375,099","-3,083","31,791,652"
106,+21,Kinny Zimmer - FURIA (w/ Kaptur),6,57,"","49,040","+8,510","320,768","+49,040","320,768"
107,-15,"Majki - Pasek Gucci - La La La - Majki Remix (w/ Larí, Mario Dracula)",247,38,"","49,011","+2,648","383,155",-639,"13,414,711"
108,+4,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",133,37,"","48,695","+6,085","358,396",-987,"5,682,751"
109,+10,Oki - JEREMY SOCHAN (w/ bvdy47),253,1,(x19),"48,636","+6,779","322,230","+4,008","28,144,688"
110,-2,Favst - ztb (w/ Gibbs),572,11,"","48,634","+5,480","357,616","-1,804","32,928,343"
111,-7,Tom Odell - Another Love,1538,15,"","48,594","+4,530","322,363","+2,286","54,372,874"
112,-14,"TACONAFIDE - Tamagotchi (w/ Quebonafide, Taco Hemingway)",879,1,(x75),"48,175","+2,758","334,334","+1,417","27,931,329"
113,-11,Aleshen - Atlanta,187,16,"","48,033","+3,759","347,795","-1,291","11,560,180"
114,-24,Kleks - Jestem Twoją Bajką (w/ sanah),270,2,(x6),"47,921","+1,049","369,357","-3,528","24,844,800"
115,+8,Sylwia Grzeszczak - Motyle,151,5,"","47,733","+6,434","364,206","-6,312","14,777,183"
116,+6,"Otsochodzi - @champagnepapi (w/ Oki, lohleq)",60,15,"","47,248","+5,730","323,951",-916,"4,223,191"
117,-3,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",200,35,"","47,197","+4,783","319,109",+327,"10,964,928"
118,-18,Smolasty - Nim Zajdzie Słońce (w/ Doda),299,1,(x17),"46,755","+2,254","365,316","-4,813","35,435,105"
119,-18,Arctic Monkeys - I Wanna Be Yours,681,16,"","46,336","+1,908","318,030",+873,"38,246,329"
120,+16,Dua Lipa - Houdini,206,12,"","46,321","+7,186","297,531","+4,649","16,466,377"
121,-18,Figo i Samogony - Erotyczne Pif-Paf,162,1,(x9),"46,023","+1,775","380,232","-4,073","18,641,579"
122,+16,Otsochodzi - RAP (w/ lohleq),133,2,(x1),"45,934","+7,222","310,453",-769,"8,937,744"
123,+9,Labrinth - Formula,550,63,"","45,893","+5,772","302,709","+5,495","20,400,878"
124,+9,Billie Eilish - THE GREATEST,18,23,"","45,872","+6,039","320,430","-13,508","1,248,800"
125,+19,PRO8L3M - Nicea,271,1,(x12),"45,652","+7,788","315,940","+1,581","26,955,125"
126,-33,The Neighbourhood - Softcore,806,36,"","45,642",-475,"314,462","+3,959","31,351,817"
127,+13,Billie Eilish - L’AMOUR DE MA VIE,18,24,"","45,564","+7,061","303,536","-10,187","1,201,056"
128,-21,"Kizo - NA BRZEGU (w/ Bletka, clearmind)",4,94,"","45,387","+2,208","189,075","+45,387","189,075"
129,+44,"Yung Adisz - Obudziłem się w Bukareszcie - Def Jam World Tour (w/ Waima, Def Jam World Tour)",18,44,"","45,290","+9,457","242,674","+45,290","848,504"
130,-21,Tymek - Język ciała (w/ Big Scythe),1099,1,(x23),"45,116","+2,159","331,945","-2,977","45,224,109"
131,+29,Camila Cabello - I LUV IT (w/ Playboi Carti),68,37,"","45,015","+7,979","305,366","-3,846","4,230,926"
132,-6,Dawid Podsiadło - To co masz Ty!,376,2,(x2),"44,916","+4,383","122,857","+44,916","27,420,379"
133,+12,Billie Eilish - THE DINER,18,31,"","44,839","+6,984","303,265","-11,263","1,150,283"
134,-17,rów babicze - W GORĄCEJ WODZIE COMPANY,16,106,"","44,602","+2,417","335,620","-2,098","726,488"
135,+48,Oki - Sonic Skit (w/ Bodhi),679,27,"","44,315","+9,621","79,009","+44,315","31,104,769"
136,-7,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",444,72,"","44,303","+4,034","321,654","-1,754","17,601,910"
137,+25,Guzior - HILL BOMB (w/ Kuban),82,5,"","44,294","+7,456","349,090","-18,368","5,640,713"
138,+33,Richy Mitch & The Coal Miners - Evergreen,95,66,"","44,225","+8,048","234,702","+4,446","4,137,673"
139,+14,Natasha Bedingfield - Unwritten,135,5,"","44,109","+6,836","329,136","-5,088","11,472,007"
140,+52,"Chappell Roan - Good Luck, Babe!",17,140,"","44,093","+10,731","115,650","+5,764","639,263"
141,=,Taco Hemingway - Gelato,157,1,(x2),"43,914","+5,605","304,528","+2,723","15,142,265"
142,-17,David Kushner - Daylight,415,1,(x28),"43,886","+2,959","302,999",-483,"44,747,055"
143,+43,Dasha - Austin,47,133,"","43,770","+9,728","295,835",+248,"1,871,726"
144,-10,Oki - Jakie To Uczucie? (w/ Nolyrics Beats),682,2,(x11),"43,513","+3,923","293,139","+3,784","46,846,382"
145,+24,Eminem - Without Me,750,58,"","43,355","+7,020","158,422","+43,355","23,360,476"
146,-18,MIÜ - PASEK PLAYBOYA (w/ DJ VaZee),164,10,"","43,235","+2,831","333,338","-5,431","13,415,768"
147,+31,"Beteo - ON THE BLOCK (w/ bambi, Lot808, Deemz)",4,129,"","43,045","+7,929","165,717","+43,045","165,717"
148,+10,Harry Styles - As It Was,692,1,(x4),"43,025","+5,908","305,862","-2,453","46,891,968"
149,=,sanah - Śrubka,39,17,"","42,929","+5,490","316,473","-5,794","2,475,356"
150,=,"SB Maffija - Bad Bunny (w/ Jacuś, bambi, Flory)",25,106,"","42,839","+5,519","308,675","+1,722","1,049,519"
151,+19,Nemo - The Code,25,7,"","42,824","+6,630","341,213","-20,787","2,310,103"
152,-28,"Kalwi & Remi - Explosion Ech poleczko - DNSQ Remix (w/ Guzowianki, DNSQ)",263,5,"","42,721","+1,766","346,598","-1,984","20,851,275"
153,+1,"Young Leosia - Skippers (w/ bambi, Janusz Walczuk, Waima, francis, Deemz, Mjonszu, Phatrax)",118,33,"","42,578","+5,318","294,282",+706,"5,986,713"
154,-7,Chivas - Death note,140,2,(x3),"42,398","+4,804","316,058","-5,696","10,857,173"
155,+6,Tymek - Poza kontrolą,950,4,"","42,317","+5,360","293,655","+2,442","32,739,601"
156,+11,Taylor Swift - Fortnight (w/ Post Malone),46,9,"","42,246","+5,848","300,248","-4,825","3,141,860"
157,-52,sanah - ostatnia nadzieja (w/ Dawid Podsiadło),718,2,(x10),"42,092","-1,416","303,645","+4,800","55,084,938"
158,-23,Kaśka Sochacka - Szum,30,64,"","42,067","+2,659","285,671","+4,025","1,274,116"
159,+28,White 2115 - Najmłodszy Książę (w/ Pedro),25,14,"","42,051","+8,020","301,536","-7,275","1,695,525"
160,+35,"Kosior - PLIKI (w/ Malik Montana, White Widow, Szamz)",12,54,"","41,970","+9,368","307,331","-15,414","627,223"
161,-2,Taco Hemingway - Następna stacja,1227,38,"","41,746","+4,657","299,592","-2,580","12,887,856"
162,-11,Dycha - Autostrada (w/ CrackHouse),14,132,"","41,725","+4,430","298,696","+1,157","578,946"
163,-53,"Męskie Granie Orkiestra 2023 - Supermoce (w/ Igo, Mrozu, Vito Bambino)",383,2,(x7),"41,652","-1,239","321,394","+1,100","36,577,629"
164,-7,"Malik Montana - Samolotowy tryb (w/ Lil Tjay, Geenaro & Ghana Beats)",102,7,"","41,630","+4,489","313,437","-6,236","8,918,036"
165,-45,"Kleks - Całkiem Nowa Bajka (w/ Igo, Kaśka Sochacka, Mrozu, Artur Rojek, Brodka, Ralph Kaminski, Bedoes 2115, Sokół)",200,5,"","41,472",-189,"341,253","-4,317","18,611,604"
166,+13,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),641,1,(x1),"41,419","+6,414","293,880",-397,"37,972,384"
167,-46,The Neighbourhood - Daddy Issues,1109,54,"","41,399",-166,"284,263","+1,229","33,466,830"
168,+12,Guzior - WTC,338,10,"","41,317","+6,554","279,700",+452,"16,402,422"
169,-39,The Kolors - ITALODISCO,319,1,(x1),"41,115",+860,"347,606","-4,688","32,143,937"
170,-4,"Taco Hemingway - Całe Lata (w/ Dawid Podsiadło, @atutowy)",137,2,(x3),"40,929","+4,504","113,897","+40,929","11,628,405"
171,-7,Billie Eilish - SKINNY,17,16,"","40,894","+4,358","261,386","-15,597","1,228,107"
172,-33,"club2020 - Malibu Barbie (w/ Oki, Otsochodzi, Taco Hemingway, Young Leosia, Dwa Sławy, Gruby Mielzky)",418,1,(x29),"40,849","+2,282","311,517","-4,357","36,908,993"
173,+3,Travis Scott - BUTTERFLY EFFECT,265,47,"","40,685","+5,335","280,044",+761,"4,391,198"
174,=,ReTo - Fluid (w/ Wroobel),243,2,(x39),"40,656","+5,244","298,419","-3,264","27,877,746"
175,-12,Zara Larsson - Lush Life,720,3,(x2),"40,410","+3,607","302,103","-2,636","9,127,942"
176,+15,Future - Like That (w/ Metro Boomin),73,16,"","39,941","+6,459","241,487","-2,650","4,444,878"
177,+13,Aleshen - Ikar,18,56,"","39,581","+5,981","288,547","-6,131","917,234"
178,-10,Miley Cyrus - Flowers,504,1,(x12),"39,572","+3,229","302,017","-3,955","45,772,791"
179,-27,Travis Scott - goosebumps,613,27,"","39,244","+1,965","286,118",-976,"13,529,872"
180,+4,French Montana - Unforgettable (w/ Swae Lee),386,13,"","39,059","+4,661","268,291",-332,"8,073,371"
181,+19,Calvin Harris - How Deep Is Your Love (w/ Disciples),471,1,(x1),"38,956","+7,170","70,742","+1,474","5,693,675"
182,=,Rihanna - S&M,151,78,"","38,541","+3,824","291,420","-2,726","5,983,063"
183,-52,XXXTENTACION - Revenge,245,61,"","38,513","-1,648","279,746",+620,"7,461,786"
184,-36,White 2115 - RiRi,708,1,(x53),"38,452",+990,"299,629","-5,388","58,009,476"
185,-39,bambi - IRL (w/ Mjonszu),27,122,"","38,400",+620,"292,294","-1,294","1,057,137"
186,RE,Akon - Smack That (w/ Eminem),12,172,"","38,222","","38,222","+38,222","388,892"
187,+9,A$AP Rocky - Sundress,51,37,"","38,222","+5,752","183,935","-3,065","1,880,541"
188,RE,Sylwia Grzeszczak - och i ach,2,188,"","38,191","","38,191","+38,191","69,443"
189,-8,"Miszel - dres (w/ Kabe, Premixm)",761,5,"","38,126","+3,407","290,360","-10,803","49,716,026"
190,RE,David Guetta - When We Were Young (The Logical Song) (w/ Kim Petras),132,61,"","37,849","","252,527","-3,704","5,773,785"
191,RE,Lost Frequencies - In My Bones (w/ David Kushner),7,181,"","37,605","","233,823",+394,"271,034"
192,-37,"Beach Weather - Sex, Drugs, Etc.",588,51,"","37,529",+276,"147,125",+454,"23,012,635"
193,RE,Amy Winehouse - Back To Black,52,77,"","37,511","","120,781",+434,"1,809,231"
194,-52,Julia Pośnik - niepoprawny numer,53,31,"","37,423",-788,"303,544","-8,596","3,676,899"
195,RE,Ella Henderson - Alibi (w/ Rudimental),42,128,"","37,395","","248,048","-1,354","1,663,072"
196,-7,Lana Del Rey - Summertime Sadness,561,58,"","37,029","+3,216","70,842","+37,029","21,852,210"
197,RE,Gunna - fukumean,248,36,"","36,810","","74,118","+36,810","12,486,198"
198,RE,"Kubi Producent - Mroczna Komnata (w/ Zeamsone, Young Leosia, Waima)",32,33,"","36,744","","125,330","+36,744","1,567,001"
199,RE,Billie Eilish - BITTERSUITE,14,34,"","36,726","","122,876","-11,987","901,265"
200,RE,Rihanna - We Found Love (w/ Calvin Harris),362,15,"","36,626","","192,304",-183,"5,421,660"
